68719476736,IDENTIFIER,1,,module,0,,1,module,,,1,{ exports: { extends: __ecma.String[]; }; },{ exports: { extends: __ecma.String[]; }; }
68719476737,IDENTIFIER,1,,_tmp_0,19,,1,_tmp_0,,,1,,ANY
68719476738,IDENTIFIER,1,,_tmp_1,28,,1,_tmp_1,,,1,,__ecma.Array
68719476739,IDENTIFIER,1,,_tmp_1,29,,1,_tmp_1,,,1,,__ecma.Array
68719476740,IDENTIFIER,0,,_tmp_1,29,,1,_tmp_1,,,2,,__ecma.Array
68719476741,IDENTIFIER,3,,_tmp_1,28,,1,_tmp_1,,,3,,__ecma.Array
68719476742,IDENTIFIER,2,,_tmp_0,17,,1,_tmp_0,,,2,,ANY
68719476743,IDENTIFIER,1,,logger,19,,6,logger,,,1,ANY,@nestjs/common:Logger
68719476744,IDENTIFIER,1,,_tmp_0,28,,6,_tmp_0,,,1,,@nestjs/common:Logger
68719476745,IDENTIFIER,-1,,Logger,32,,6,Logger,,,1,ANY,@nestjs/common:Logger
68719476746,IDENTIFIER,0,,_tmp_0,28,,6,_tmp_0,,,2,,@nestjs/common:Logger
68719476747,IDENTIFIER,1,,AppController,39,,6,AppController,,,1,AppController,src/app.controller.ts::program:AppController
68719476748,IDENTIFIER,3,,_tmp_0,28,,6,_tmp_0,,,3,,@nestjs/common:Logger
68719476749,IDENTIFIER,1,,_tmp_1,4,,11,_tmp_1,,,1,,@nestjs/common:Logger
68719476750,IDENTIFIER,1,,this,4,src/app.controller.ts::program:AppController;src/app.controller.ts::program,11,this,,,1,,src/app.controller.ts::program:AppController
68719476751,IDENTIFIER,0,,_tmp_1,4,,11,_tmp_1,,,2,,@nestjs/common:Logger
68719476752,IDENTIFIER,1,,_tmp_2,11,src/app.service.ts::program:AppService;src/app:service:ts::program:AppService,12,_tmp_2,,,1,,src/app.service.ts::program:AppService
68719476753,IDENTIFIER,1,,this,11,src/app.controller.ts::program:AppController;src/app.controller.ts::program,12,this,,,1,,src/app.controller.ts::program:AppController
68719476754,IDENTIFIER,0,,_tmp_2,11,src/app.service.ts::program:AppService;src/app:service:ts::program:AppService,12,_tmp_2,,,2,,src/app.service.ts::program:AppService
68719476755,IDENTIFIER,1,,Controller,0,,1,Controller,,,1,,@nestjs/common:Controller
68719476756,IDENTIFIER,-1,,require,0,"(""./app.service""):<member>(AppService);(""@nestjs/common""):<member>(Controller);(""@nestjs/common""):<member>(Get);(""@nestjs/common""):<member>(Logger)",1,require,,,1,,ANY
68719476757,IDENTIFIER,0,,this,0,src/app.controller.ts::program,1,this,,,2,,src/app.controller.ts::program
68719476758,IDENTIFIER,1,,Get,0,,1,Get,,,1,,@nestjs/common:Get
68719476759,IDENTIFIER,-1,,require,0,"(""./app.service""):<member>(AppService);(""@nestjs/common""):<member>(Controller);(""@nestjs/common""):<member>(Get);(""@nestjs/common""):<member>(Logger)",1,require,,,1,,ANY
68719476760,IDENTIFIER,0,,this,0,src/app.controller.ts::program,1,this,,,2,,src/app.controller.ts::program
68719476761,IDENTIFIER,1,,Logger,0,,1,Logger,,,1,,@nestjs/common:Logger
68719476762,IDENTIFIER,-1,,require,0,"(""./app.service""):<member>(AppService);(""@nestjs/common""):<member>(Controller);(""@nestjs/common""):<member>(Get);(""@nestjs/common""):<member>(Logger)",1,require,,,1,,ANY
68719476763,IDENTIFIER,0,,this,0,src/app.controller.ts::program,1,this,,,2,,src/app.controller.ts::program
68719476764,IDENTIFIER,1,,AppService,0,,2,AppService,,,1,,src/app.service.ts::program:AppService
68719476765,IDENTIFIER,-1,,require,0,"(""./app.service""):<member>(AppService);(""@nestjs/common""):<member>(Controller);(""@nestjs/common""):<member>(Get);(""@nestjs/common""):<member>(Logger)",2,require,,,1,,ANY
68719476766,IDENTIFIER,0,,this,0,src/app.controller.ts::program,2,this,,,2,,src/app.controller.ts::program
68719476767,IDENTIFIER,1,,AppController,0,src/app.controller.ts::program:AppController:<init>;src/app.controller.ts::program:AppController,4,AppController,,,1,,ANY
68719476768,IDENTIFIER,1,,exports,0,,4,exports,,,1,,ANY
68719476769,IDENTIFIER,2,,AppController,0,,4,AppController,,,2,,src/app.controller.ts::program:AppController
68719476770,IDENTIFIER,1,,_tmp_0,2,,16,_tmp_0,,,1,,ANY
68719476771,IDENTIFIER,1,,_tmp_1,11,,16,_tmp_1,,,1,,ANY
68719476772,IDENTIFIER,1,,_tmp_1,4,,17,_tmp_1,,,1,,ANY
68719476773,IDENTIFIER,0,,_tmp_1,4,,17,_tmp_1,,,2,,ANY
68719476774,IDENTIFIER,1,,TypeOrmModule,4,,17,TypeOrmModule,,,1,ANY,@nestjs/typeorm:TypeOrmModule
68719476775,IDENTIFIER,0,,TypeOrmModule,4,,17,TypeOrmModule,,,2,,@nestjs/typeorm:TypeOrmModule
68719476776,IDENTIFIER,1,,appPostgresDataSource,26,,17,appPostgresDataSource,,,3,TypeOrmModuleOptions,TypeOrmModuleOptions
68719476777,IDENTIFIER,1,,_tmp_1,4,,18,_tmp_1,,,1,,ANY
68719476778,IDENTIFIER,0,,_tmp_1,4,,18,_tmp_1,,,2,,ANY
68719476779,IDENTIFIER,1,,LoggerModule,4,,18,LoggerModule,,,1,ANY,nestjs-pino:LoggerModule
68719476780,IDENTIFIER,0,,LoggerModule,4,,18,LoggerModule,,,2,,nestjs-pino:LoggerModule
68719476781,IDENTIFIER,1,,pinoOptions,25,,18,pinoOptions,,,3,{ pinoHttp: { transport: { target: __ecma.String; options: { colorize: __ecma.Boolean; levelFirst: __ecma.Boolean; translateTime: __ecma.String; }; }; autoLogging: __ecma.Boolean; customProps: (req: Request) => { correlationId: Request; }; serializers: { req: () => ANY; res: () => ANY; }; }; },{ pinoHttp: { transport: { target: __ecma.String; options: { colorize: __ecma.Boolean; levelFirst: __ecma.Boolean; translateTime: __ecma.String; }; }; autoLogging: __ecma.Boolean; customProps: (req: Request) => { correlationId: Request; }; serializers: { req: () => ANY; res: () => ANY; }; }; }
68719476782,IDENTIFIER,1,,_tmp_1,4,,19,_tmp_1,,,1,,ANY
68719476783,IDENTIFIER,0,,_tmp_1,4,,19,_tmp_1,,,2,,ANY
68719476784,IDENTIFIER,1,,UsersModule,4,src/context/users/users.module.ts::program:UsersModule;UsersModule,19,UsersModule,,,3,UsersModule,src/context/users/users.module.ts::program:UsersModule
68719476785,IDENTIFIER,1,,_tmp_1,4,,20,_tmp_1,,,1,,ANY
68719476786,IDENTIFIER,0,,_tmp_1,4,,20,_tmp_1,,,2,,ANY
68719476787,IDENTIFIER,1,,RolesModule,4,src/context/roles/roles.module.ts::program:RolesModule;RolesModule,20,RolesModule,,,3,RolesModule,src/context/roles/roles.module.ts::program:RolesModule
68719476788,IDENTIFIER,1,,_tmp_1,4,,21,_tmp_1,,,1,,ANY
68719476789,IDENTIFIER,0,,_tmp_1,4,,21,_tmp_1,,,2,,ANY
68719476790,IDENTIFIER,1,,RoleAliasesModule,4,src/context/role-aliases/role-aliases.module.ts::program:RoleAliasesModule;RoleAliasesModule,21,RoleAliasesModule,,,3,RoleAliasesModule,src/context/role-aliases/role-aliases.module.ts::program:RoleAliasesModule
68719476791,IDENTIFIER,1,,_tmp_1,4,,22,_tmp_1,,,1,,ANY
68719476792,IDENTIFIER,0,,_tmp_1,4,,22,_tmp_1,,,2,,ANY
68719476793,IDENTIFIER,1,,UserRoleByTenantsModule,4,src/context/user-role-by-tenants/user-role-by-tenants.module.ts::program:UserRoleByTenantsModule;UserRoleByTenantsModule,22,UserRoleByTenantsModule,,,3,UserRoleByTenantsModule,src/context/user-role-by-tenants/user-role-by-tenants.module.ts::program:UserRoleByTenantsModule
68719476794,IDENTIFIER,1,,_tmp_1,4,,23,_tmp_1,,,1,,ANY
68719476795,IDENTIFIER,0,,_tmp_1,4,,23,_tmp_1,,,2,,ANY
